"","date","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP","frequency","happiness"
"1",2018-05-02,1,84300,67.7,71.57,37.35,68.04,84300,18.17,80.04,45.18,13.57,9,3.81,0.96,2.6,1.02,0.61,4.57,5.6,11.64,7.68,4.47,4.25,1.79,15.18,4.63,1.94,1.57,0.74,1.83,6.97,4.57,2.33,0.27,1.01,0.46,10.8,0.46,0.47,0.71,1.23,9.23,1.77,1.42,1.38,2,1.5,2.34,2.99,1.49,0.83,0.52,2.57,0.91,0.65,0.36,0.43,8.73,3.02,1.72,3.09,1.71,0.55,2.88,10.7,1.53,13.55,2.05,6.11,5.57,2.55,1.83,0.32,0.84,0.45,0.29,2.75,0.72,1.58,0.43,0.2,0.02,0.01,0,0,0,0,0,0,0,0.01,0,0,0,155023853,5.981
"2",2018-05-03,1,208189,67.5,72.88,33.97,66.64,208189,18.52,79.28,44.82,13.46,8.94,3.76,0.88,2.57,1.14,0.6,4.52,5.37,11.62,7.51,4.46,4.43,1.73,15.08,4.56,1.98,1.61,0.78,1.78,6.75,4.42,2.26,0.25,0.98,0.4,11.17,0.47,0.47,0.81,1.31,9.34,1.81,1.46,1.33,2.03,1.58,2.35,2.88,1.34,0.9,0.52,2.44,0.77,0.64,0.41,0.42,8.47,2.91,1.62,2.95,1.65,0.54,2.8,10.68,1.38,13.08,1.95,5.97,5.36,2.45,1.89,0.32,0.91,0.44,0.27,2.74,0.68,1.58,0.43,0.19,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,153834724,5.991
"3",2018-05-04,1,205267,68.44,72.94,33.49,68.05,205267,18.49,79.09,44.57,13.26,8.88,3.74,0.9,2.57,1.08,0.61,4.37,5.48,11.55,7.53,4.46,4.38,1.64,15.03,4.54,1.94,1.53,0.77,1.83,6.87,4.52,2.29,0.27,0.95,0.47,11.04,0.42,0.46,0.77,1.23,9.39,1.73,1.48,1.39,2.13,1.59,2.38,3,1.49,0.84,0.54,2.5,0.86,0.62,0.42,0.42,8.51,2.98,1.66,2.93,1.68,0.51,2.72,10.68,1.38,13.06,1.91,6,5.36,2.34,1.99,0.33,0.86,0.4,0.26,2.72,0.63,1.6,0.45,0.22,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,147534460,6.012
"4",2018-05-05,1,186164,67.88,73.09,31.67,69.22,186164,18.51,78.89,43.68,13.21,8.95,3.79,0.85,2.62,1.1,0.59,4.26,5.1,11.34,7.25,4.43,4.33,1.68,14.73,4.77,1.88,1.53,0.79,1.77,6.95,4.59,2.28,0.27,0.98,0.45,11.18,0.49,0.5,0.92,1.36,9.06,1.62,1.43,1.39,1.97,1.57,2.29,3.07,1.56,0.85,0.52,3.21,1.11,0.7,0.87,0.54,8.38,2.87,1.57,2.92,1.79,0.45,2.84,10.39,1.34,12.93,1.87,5.84,5.37,2.06,2.06,0.32,0.88,0.42,0.27,2.92,0.74,1.73,0.48,0.18,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,137906161,6.043
"5",2018-05-06,1,192932,65.81,70.87,32.9,67.9,192932,18.15,78.86,44.17,13.49,8.98,3.97,0.84,2.53,1.12,0.52,4.5,5.21,11.14,7.53,4.42,4.37,1.8,15.16,4.67,1.94,1.53,0.84,1.78,6.93,4.55,2.32,0.24,0.99,0.49,11.02,0.49,0.49,0.84,1.43,9.24,1.74,1.41,1.41,1.98,1.55,2.4,3.21,1.65,0.87,0.55,2.96,0.99,0.63,0.75,0.47,8.3,2.85,1.62,2.88,1.75,0.47,2.9,10.7,1.26,12.78,1.9,5.79,5.27,2.02,1.93,0.3,0.74,0.44,0.26,2.86,0.74,1.66,0.47,0.2,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,144385473,6.025
"6",2018-05-07,1,193886,65.95,70.82,34.41,70.62,193886,18.52,79.29,44.61,13.54,9.01,3.97,0.79,2.53,1.15,0.58,4.53,5.32,11.27,7.58,4.56,4.35,1.76,15.18,4.66,1.94,1.57,0.81,1.82,7.07,4.69,2.31,0.26,0.96,0.49,10.97,0.49,0.44,0.8,1.31,9.2,1.71,1.4,1.33,1.99,1.56,2.37,3.07,1.48,0.88,0.57,2.57,0.86,0.65,0.42,0.47,8.28,2.84,1.55,2.85,1.74,0.55,2.89,10.7,1.32,13.01,1.95,5.79,5.46,2.31,1.9,0.32,0.84,0.43,0.24,2.83,0.71,1.62,0.5,0.2,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,150198687,5.996
"7",2018-05-08,1,50109,67.23,73.43,28.76,72.04,50109,18.57,78.22,43.93,13.34,9.02,3.81,0.78,2.65,1.2,0.58,4.31,5.3,11.12,7.41,4.34,4.35,1.67,14.91,4.52,1.95,1.49,0.8,1.76,7.04,4.71,2.25,0.24,0.92,0.5,11.25,0.55,0.41,1,1.29,9.1,1.6,1.45,1.54,2.05,1.44,2.3,3.07,1.55,0.84,0.54,2.49,0.88,0.64,0.43,0.38,8.14,2.99,1.58,2.72,1.64,0.49,2.85,10.57,1.48,12.67,1.9,5.71,5.22,1.9,2.07,0.39,0.81,0.59,0.28,2.74,0.63,1.6,0.47,0.17,0.03,0.02,0,0,0,0,0,0,0,0.02,0,0,0,158100871,5.991
"8",2018-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159408606,5.991
"9",2018-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157632760,6.002
"10",2018-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147515042,6.004
"11",2018-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140952942,6.024
"12",2018-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143513968,6.065
"13",2018-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172115835,6.002
"14",2018-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195527572,6.008
